Key,FamilyCount,Family1,Family2,Family3,IconBtn,CharType,BrawlerID,Name,IconImg,CharName,CharDesc,filename,Class,GradeNum,Grade,GradeColor,Health,Speed,Speed_Text,Shield,SuperCharge_Auto,SuperCharge_fromDmg,NormalSkill_Count,NormalSkill1,NormalSkill2,NormalSkill3,NormalSkill4,NormalSkill5,SuperSkill_Count,SuperSkill1,SuperSkill2,SuperSkill3,SuperSkill4,SuperSkill5,StarPowerSkill1,StarPowerSkill2,GadgetSkill1,GadgetSkill2,HyperSkill,Hyper_Damage,Hyper_Speed,Hyper_Shield,Hyper_isBuddy,Tag,
870,,,,,,hero,870001,Meeple,face/face_meeple,TID_MEEPLE,TID_MEEPLE_DESC,meeple,controller,4,epic,FB00FFFF,3300,750,매우 빠름,,,,1,8700011,,,,,1,8700021,,,,,8700031,8700032,8700041,8700042,8700051,5,20,5,0,"cc,",
880,,,,,,hero,880001,Skater,face/face_ollie,TID_SKATER,TID_SKATER_DESC,ollie,tank,5,mega_epic,FF003CFF,5400,800,매우 빠름,,,240,1,8800011,,,,,1,8800021,,,,,8800031,8800032,8800041,8800042,8800051,5,20,5,0,"cc,cc,cc,tank,",
890,,,,,,hero,890001,Chronomancer,face/face_finx,TID_CHRONOMANCER,TID_CHRONOMANCER_DESC,finx,controller,5,mega_epic,FF003CFF,3700,800,매우 빠름,,,,1,8900011,,,,,1,8900021,,,,,8900031,8900032,8900041,8900042,8900051,5,20,5,0,"cc,",
900,,,,,,hero,900001,Morningstar,face/face_lumi,TID_MORNINGSTAR,TID_MORNINGSTAR_DESC,lumi,damage_dealer,5,mega_epic,FF003CFF,3500,750,매우 빠름,,,,1,9000011,,,,,1,9000021,,,,,9000031,9000032,9000041,9000042,9000051,5,20,5,0,"cc,",
910,,,,,,hero,910001,Alternator,face/face_jaeyong,TID_ALTERNATOR,TID_ALTERNATOR_DESC,jaeyong,support,5,mega_epic,FF003CFF,3700,800,매우 빠름,,,,1,9100011,,,,,1,9100021,,,,,9100031,9100032,9100041,9100042,9100051,5,20,5,0,"heal(t),heal(s),heal(t),cc,auto,",
920,2,920,921,,face/btn_icon_kaze_0,hero,920001,Geisha,face/face_kaze,TID_GEISHA,TID_GEISHA_DESC,kaze,assassin,8,ultra_legendary,FF9900FF,4100,855,매우 빠름,,,,1,9200011,,,,,1,9200021,,,,,9200031,9200032,9200041,9200042,9200051,5,20,5,0,"cc,cc,",
921,2,920,921,,face/btn_icon_kaze_1,pet,921001,GeishaTransformed,face/face_kaze,TID_GEISHA,TID_GEISHA_DESC,kaze,assassin,8,ultra_legendary,FF9900FF,4100,750,매우 빠름,,,,1,9210011,,,,,1,9210021,,,,,9210031,9210032,9210041,9210042,9210051,5,20,5,0,"heal(s),",
930,,,,,,hero,930001,Stalker,face/face_alli,TID_STALKER,TID_STALKER_DESC,alli,assassin,5,mega_epic,FF003CFF,3900,800,매우 빠름,,,,1,9300011,,,,,1,9300021,,,,,9300031,9300032,9300041,9300042,9300051,5,20,5,0,"heal(s),heal(s),water,",
940,,,,,,hero,940001,Domain,face/face_trunk,TID_DOMAIN,TID_DOMAIN_DESC,trunk,tank,4,epic,FB00FFFF,5200,800,매우 빠름,,,240,1,9400011,,,,,1,9400021,,,,,9400031,9400032,9400041,9400042,9400051,5,20,5,0,"heal(s),tank,",
950,,,,,,hero,950001,Dancer,face/face_mina,TID_DANCER,TID_DANCER_DESC,mina,damage_dealer,5,mega_epic,FF003CFF,3600,800,매우 빠름,,,,3,9500011,9500012,9500013,,,1,9500021,,,,,9500031,9500032,9500041,9500042,9500051,5,20,5,0,"heal(s),cc,",
960,,,,,,hero,960001,Fury,face/face_ziggy,TID_FURY,TID_FURY_DESC,ziggy,controller,5,mega_epic,FF003CFF,3200,800,매우 빠름,,,,1,9600011,,,,,1,9600021,,,,,9600031,9600032,9600041,9600042,9600051,5,20,5,0,"cc,",
970,,,,,,hero,970001,Daredevil,face/face_gigi,TID_DAREDEVIL,TID_DAREDEVIL_DESC,gigi,assassin,5,mega_epic,FF003CFF,4100,855,매우 빠름,,,,1,9700011,,,,,1,9700021,,,,,9700031,9700032,9700041,9700042,9700051,5,20,5,0,"heal(s),",
980,,,,,,hero,980001,Bulletstorm,face/face_pierce,TID_BULLETSTORM,TID_BULLETSTORM_DESC,pierce,marksman,6,legendary,FFEE0BFF,3000,750,매우 빠름,,,,1,9800011,,,,,1,9800021,,,,,9800031,9800032,9800041,9800042,9800051,5,20,5,0,"cc,",
990,,,,,,hero,990001,Mender,face/face_glowy,TID_MENDER,TID_MENDER_DESC,glowy,support,5,mega_epic,FF003CFF,3900,800,매우 빠름,,,,1,9900011,,,,,1,9900021,,,,,9900031,9900032,9900041,9900042,9900051,5,20,5,0,"heal(t),cc,heal(s),heal(s),heal(t),",
1000,,,,,,hero,1000001,Shadowdemon,face/face_sirius,TID_SHADOWDEMON,TID_SHADOWDEMON_DESC,sirius,controller,8,ultra_legendary,FF9900FF,3400,750,매우 빠름,,,,1,10000011,,,,,1,10000021,,,,,10000031,10000032,10000041,10000042,10000051,5,20,5,0,"cc,heal(s),auto,",
1010,,,,,,hero,1010001,Redirecter,face/face_najia,TID_REDIRECTER,TID_REDIRECTER_DESC,najia,damage_dealer,5,mega_epic,FF003CFF,3400,800,매우 빠름,,,,1,10100011,,,,,1,10100021,,,,,10100031,10100032,10100041,10100042,10100051,5,20,5,0,"cc,",
1020,,,,,,hero,1020001,Gladiator,face/face_damian,TID_GLADIATOR,TID_GLADIATOR_DESC,damian,tank,5,mega_epic,FF003CFF,5600,800,매우 빠름,,,240,1,10200011,,,,,1,10200021,,,,,10200031,10200032,10200041,10200042,10200051,5,20,5,0,"cc,cc,cc,heal(s),heal(t),tank,",
1030,,,,,,hero,1030001,MagicalGirl,face/face_starrnova,TID_MAGICAL_GIRL,TID_MAGICAL_GIRL_DESC,starrnova,assassin,5,mega_epic,FF003CFF,3700,855,매우 빠름,,,,1,10300011,,,,,1,10300021,,,,,10300031,10300032,10300041,10300042,10300051,5,20,5,0,"heal(s),heal(t),heal(t),",
1040,,,,,,hero,1040001,Rock,face/face_bolt,TID_ROCK,TID_ROCK_DESC,bolt,tank,4,epic,FB00FFFF,5000,545,매우 느림,,,,1,10400011,,,,,1,10400021,,,,,10400031,10400032,10400041,10400042,10400051,5,20,5,0,"cc,break,",
1050,,,,,,hero,1050001,KatanaKid,face/face_nori,TID_KATANA_KID,TID_KATANA_KID_DESC,nori,assassin,6,legendary,FFEE0BFF,3500,855,매우 빠름,,,,1,10500011,,,,,1,10500021,,,,,10500031,10500032,10500041,10500042,10500051,5,20,5,0,"heal(s),cc,",
1060,,,,,,hero,1060001,FutureGirl,face/face_wendy,TID_FUTURE_GIRL,TID_FUTURE_GIRL_DESC,wendy,support,5,mega_epic,FF003CFF,2000,800,매우 빠름,2000,,,1,10600011,,,,,1,10600021,,,,,10600031,10600032,10600041,10600042,10600051,5,20,5,0,"cc,cc,water,",
1070,,,,,,hero,1070001,Attractor,face/face_cosmo,TID_ATTRACTOR,TID_ATTRACTOR_DESC,cosmo,controller,5,mega_epic,FF003CFF,3400,750,매우 빠름,3400,,,1,10700011,,,,,1,10700021,,,,,10700031,10700032,10700041,10700042,10700051,5,20,5,0,"cc,",
1080,,,,,,hero,1080001,Stacker,face/face_vince,TID_STACKER,TID_STACKER_DESC,vince,damage_dealer,5,mega_epic,FF003CFF,3400,750,매우 빠름,3400,,,1,10800011,,,,,4,10800021,10800022,10800023,10800024,,10800031,10800032,10800041,10800042,10800051,5,20,5,0,"heal(s),",
