KEY_TEXT,TEXT_KOR,TEXT_ENG,TEXT_ES,TEXT_FR,TEXT_DE,TEXT_AR,TEXT_CN,TEXT_CNT,TEXT_FI,TEXT_HE,TEXT_ID,TEXT_IT,TEXT_JP,TEXT_MS,TEXT_NL,TEXT_PL,TEXT_PT,TEXT_RU,TEXT_TH,TEXT_TR,TEXT_VI,
TID_MUMMY_ULTI,"톡 쏘는 향기","CAUSTIC CHARISMA","CARISMA CORROSIVO","CHARISME CAUSTIQUE","KAUSTISCHES CHARISMA","السحابة السمية","腐蚀光环","侵蝕魅力","SYÖVYTTÄVÄ KARISMA","כריזמה צורבת","KARISMA KOROSIF","PERSONALITÀ CORROSIVA","腐食性カリスマ","KARISMA SERAM","BIJTEND CHARISMA","ŻRĄCA CHARYZMA","CARISMA CÁUSTICO","ЖГУЧАЯ ХАРИЗМА","เสน่ห์เราะร้าย","KORKUNÇ KARİZMA","HÀO QUANG ĐỘC HẠI",
TID_MUMMY_ULTI_DESC,"자기 주변에 독성 구름을 만들어 적의 이동 속도를 늦추고 피해를 입힙니다.","Emz creates a cloud of toxicity around herself, slowing down the movement of enemies and damaging them.","Emz genera una nube tóxica a su alrededor que ralentiza e inflige daño a los rivales que se encuentren en el área de efecto.","Eliz@ crée un nuage toxique autour d'elle, ralentissant les ennemis et leur causant des dégâts.","Emz hüllt sich in eine giftige Wolke ein, die Gegner verlangsamt und ihnen Schaden zufügt.","تنشر إيمز سحابة سمية حولها، فتبطئ الأبطال الأعداء وتلحق بهم ضررًا.","艾魅在自己身边制造一片浓雾，减缓作用范围内敌方英雄的移动速度并对他们造成伤害。","艾謎創造出一片圍繞著她的毒霧圈，減緩範圍內敵方英雄的移動速度並對他們造成傷害。","Emz luo ympärilleen myrkkypilven, joka hidastaa ja vahingoittaa vastustajia.","ענן הרעילות שEmz יוצרת עוטף את האויבים שלה, מאט אותם וגורם להם נזק.","Emz akan mengerahkan gumpalan awan beracun yang memperlambat pergerakan serta memberi kerusakan pada lawan.","La personalità di Emz crea un'aura tossica attorno a lei, che rallenta e infligge danni ai nemici coinvolti.","腐食性あふれるオーラを周囲に放ち、敵キャラクターをスローダウンさせてダメージを与える。","Emz membentuk kepulan toksik di sekelilingnya, memperlahankan pergerakan musuh dan mengenakan kerosakan.","Emz hult zich in een giftige wolk die vijandelijke knokkers vertraagt en beschadigt.","Emz rozpyla wokół siebie toksyczną chmurę, spowalniając przeciwników i zadając im obrażenia.","A personalidade original de Emz cria uma nuvem tóxica ao seu redor, infligindo dano e deixando os inimigos mais lentos.","Эмз окружает себя ядовитым облаком, которое замедляет врагов и наносит им урон.","เอมซ์สร้างเมฆพิษขึ้นรอบตัว สร้างความเสียหายและลดความเร็วในการเคลื่อนไหวของศัตรู","Emz, kendi etrafında rakiplerin hızını azaltan ve hasar veren zehirli bir bulut oluşturur.","Emz tạo ra một đám mây độc xung quanh mình để làm chậm và gây sát thương cho đối thủ.",
TID_SPEC_ABI_TICK_DMG_GROW,"나쁜 냄새","BAD KARMA","KARMA","MAUVAIS KARMA","SCHLECHTES KARMA","العاقبة السيئة","变本加厉","壞運連連","HUONO KARMA","קארמה רעה","KARMA BURUK","ARIA VIZIATA","因果応報","KARMA MELANDA","SLECHT KARMA","ZŁA KARMA","KARMA","ПЛОХАЯ КАРМА","กรรมตามสนอง","KÖR TALİH","VẬN ĐEN",
TID_SPEC_ABI_TICK_DMG_GROW_DESC,"독성 헤어스프레이 구름 안에 들어온 적이 받는 피해가 공격당 <color=#00cc00>25%</color>씩 증가합니다.","Enemies that stay within the cloud of Emz's toxic hair spray suffer increasing damage, <color=#00cc00>25%</color> per hit.","Los enemigos que permanecen en la nube de laca tóxica de Emz reciben un <color=#00cc00>25 %</color> de daño aumentado por cada golpe.","Les ennemis qui restent dans le nuage de laque toxique subissent des dégâts croissants, <color=#00cc00>25 %</color> par coup.","Gegner im Effektradius von Emz‘ giftigem Haarspray erleiden größer werdenden Schaden (<color=#00cc00>25 %</color> pro Treffer).","الأعداء الذين يبقون داخل سحابة بخاخ الشعر السام لإيمز سيتكبدون ضررًا متزايدًا: <color=#00cc00>25%</color> لكل ضربة.","艾魅的定型喷雾对作用范围内敌人造成的伤害会依次递增，每次增加<color=#00cc00>25%</color>。","艾謎的定型毒霧對範圍內敵人造成的傷害會依次遞增，每次增加<color=#00cc00>25%</color>。","Emzin myrkkyhiuslakan vaikutusalueella olevat vastustajat kärsivät tuhosta, joka kasvaa <color=#00cc00>25 %</color> osumaa kohden.","אויבים שנשארים בטווח הענן הרעיל של ספריי השיער של Emz סובלים מנזק גובר, <color=#00cc00>%25</color> לכל פגיעה.","Saat berada dalam awan beracun dari semprotan rambut Emz, kerusakan yang diterima lawan akan bertambah sebesar <color=#00cc00>25%</color> per serangan.","I nemici colpiti dai fumi tossici della lacca di Emz subiscono danni che aumentano del <color=#00cc00>25%</color> per ogni colpo ricevuto.","彼女のヘアスプレーの範囲内にいる敵は、時間の経過とともに<color=#00cc00>25％</color>ずつ受けるダメージが増加する。","Musuh di dalam kepulan semburan rambut toksik Emz mengalami kerosakan kian meningkat, <color=#00cc00>25%</color> setiap serangan.","Vijanden die in de wolk van Emz' giftige haarlak blijven, lijden steeds meer schade (<color=#00cc00>25%</color> per treffer).","Przeciwnicy, którzy znajdą się w chmurze toksycznego spreju Emz, odnoszą zwiększone obrażenia, <color=#00cc00>25%</color> na każde trafienie.","Inimigos que ficarem na área atingida pelo laquê da Emz sofrem <color=#00cc00>25%</color> de dano a mais por golpe.","Урон, получаемый врагами в облаках ядовитого лака Эмз, возрастает на <color=#00cc00>25 %</color> с каждым ударом.","ศัตรูในเมฆจากสเปรย์ฉีดผมพิษของเอมซ์จะได้รับความเสียหายเพิ่มขึ้น <color=#00cc00>25%</color> ต่อจำนวนครั้งที่โดน","Emz'in zehirli saç spreyi bulutunda kalan düşmanlar darbe başına <color=#00cc00>%25</color> artan oranda hasar alır.","Những đối thủ đứng trong màn keo xịt tóc độc hại của Emz sẽ chịu thêm <color=#00cc00>25% sát thương</color> mỗi lần trúng đòn.",
TID_MUMMY_BUDDY_STARPOWER_1_DIFF,"일반 공격에 당한 적이 입히는 피해량이 <color=#00cc00>4</color>초 동안<color=#00cc00>15%</color> 감소합니다.","Reduce damage dealt by enemies hit by Emz's main attack by <color=#00cc00>15%</color> for <color=#00cc00>4</color> sec.","Reduce en un <color=#00cc00>15 %</color> el daño que infligen los enemigos golpeados por el ataque principal de Emz durante <color=#00cc00>4</color> segundo(s).","Réduit les dégâts infligés par les ennemis touchés par l'attaque de base d'Eliz@ de <color=#00cc00>15 %</color> pendant <color=#00cc00>4</color> s.","Der verursachte Schaden von Gegnern, die von Emz‘ Hauptattacke getroffen werden, wird <color=#00cc00>4</color> Sek. lang um <color=#00cc00>15 %</color> verringert.","تقلل من الضرر الذي يلحقه الأعداء الذين تعرضوا للإصابة من هجوم إيمز الأساسي بنسبة <color=#00cc00>15%</color> لمدة <color=#00cc00>4</color> ث.","被艾魅普通攻击命中的敌人，其伤害会降低<color=#00cc00>15%</color>，持续<color=#00cc00>4</color>秒。","被艾謎普通攻擊命中的敵人，其傷害會降低<color=#00cc00>15%</color>，持續<color=#00cc00>4</color>秒。","Emzin päähyökkäys vähentää vastustajien tekemää tuhoa <color=#00cc00>15 %:lla</color> <color=#00cc00>4</color> sekunniksi.","מפחית את הנזק שגורמים אויבים שנפגעו מההתקפה העיקרית של Emz ב-<color=#00cc00>15%</color> למשך <color=#00cc00>4</color> שניות.","Mengurangi kerusakan dari lawan yang terkena serangan dasar Emz sebesar <color=#00cc00>15%</color> selama <color=#00cc00>4</color> dtk.","Gli avversari colpiti con l'attacco base causeranno il <color=#00cc00>15%</color> dei danni in meno per <color=#00cc00>4</color> secondi.","通常攻撃を受けた敵は、与ダメージが<color=#00cc00>4</color>秒間にわたって<color=#00cc00>15％</color>減少する。","Kurangkan kerosakan yang dilakukan oleh musuh yang terkena serangan utama Emz sebanyak <color=#00cc00>15%</color> selama <color=#00cc00>4</color> saat.","Verlaag <color=#00cc00>4</color> sec. lang schade toegebracht door vijanden die door Emz' hoofdaanval zijn geraakt met <color=#00cc00>15%</color>.","Ataki wrogów trafionych głównym atakiem Emz zadają o <color=#00cc00>15%</color> mniej obrażeń przez <color=#00cc00>4</color> s.","Reduz o dano causado por inimigos atingidos pelo ataque principal da Emz em <color=#00cc00>15%</color> por <color=#00cc00>4</color> segundos.","Враги, поражённые основной атакой Эмз, наносят на <color=#00cc00>15 %</color> меньше урона в течение <color=#00cc00>4</color> с.","การโจมตีพื้นฐานของเอมซ์ลดความเสียหายที่ศัตรูทำได้ลง <color=#00cc00>15%</color> เป็นเวลา <color=#00cc00>4</color> วินาที","Emz'nin temel saldırısıyla vurulan düşmanların hasarını <color=#00cc00>4</color> saniyeliğine <color=#00cc00>%15</color> azaltır.","Đối thủ bị đòn tấn công chính của Emz đánh trúng sẽ bị giảm <color=#00cc00>15%</color> sát thương gây ra trong <color=#00cc00>4</color> giây.",
TID_SPEC_ABI_HEAL_SUPER_DMG,"후원 감사","HYPE","AUTOBOMBO","TENDANCE","HYPE","الحماس الفائق","自我激励","食腐復甦","HYPETYS","ריגוש","SORAK SEMANGAT","HYPE","元気注入","GEMBAR-GEMBUR","HYPE","ROZGŁOS","BLOGUEIRINHA","ХАЙП","กระตุ้นพลัง","HEYECAN","HÃY TRAO CHO EMZ",
TID_SPEC_ABI_HEAL_SUPER_DMG_DESC,"특수 공격 효과 범위 안의 적 브롤러 수만큼 초당 <color=#00cc00>624</color> HP를 회복합니다.","Emz recovers <color=#00cc00>624</color> health per second for each enemy Brawler inside her Super's area of effect.","Emz recupera <color=#00cc00>624</color> puntos de salud por segundo por cada brawler rival que se encuentre dentro del área de efecto de su súper.","Eliz@ récupère <color=#00cc00>624</color> PV par seconde pour chaque brawler ennemi se trouvant dans la zone d'effet de son super.","Emz regeneriert <color=#00cc00>624</color> Trefferpunkte pro Sekunde für jeden gegnerischen Brawler im Wirkungsbereich ihres Superskills.","تسترجع إيمز <color=#00cc00>624</color> من الصحة في الثانية عن كل بطل عدو داخل منطقة تأثير زخمها.","艾魅超级技能作用范围内的每个敌方英雄都能使她每秒恢复<color=#00cc00>624</color>生命值。","艾謎超級技能範圍內的每個敵方英雄，都能使她每秒恢復<color=#00cc00>624</color>生命值。","Emz saa takaisin <color=#00cc00>624</color> pistettä elinvoimaa sekunnissa jokaisesta superinsa vaikutusalueella olevasta vastustajarämäpäästä.","על כל בראולר אויב שנמצא בתוך אזור ההשפעה של תכונת הסופר שלה, Emz מקבלת בחזרה <color=#00cc00>624</color> נקודות בריאות לשנייה.","Kesehatan Emz pulih sebesar <color=#00cc00>624</color> per detik untuk setiap Jagoan lawan yang berada dalam jangkauan Kekuatan Super miliknya.","Emz recupera <color=#00cc00>624</color> punti salute al secondo per ogni brawler nemico all'interno dell'aura tossica della sua super.","必殺技の範囲内にいる敵1体につき、EmzのHPが毎秒<color=#00cc00>624</color>回復する。","Emz memulihkan <color=#00cc00>624</color> nilai nyawa sesaat bagi setiap brawler musuh yang berada di dalam kawasan terkesan Supernya.","Emz herstelt <color=#00cc00>624</color> gezondheid per seconde voor elke vijandelijke knokker die binnen het effectgebied van haar super blijft.","Emz odzyskuje <color=#00cc00>624</color> pkt. życia na sekundę za każdego wrogiego Zadymiarza, który znajduje się w polu działania jej superataku.","Emz recupera <color=#00cc00>624</color> pontos de vida por cada Brawler inimigo dentro da área de efeito do Super.","Эмз восстанавливает <color=#00cc00>624</color> очк. здоровья в секунду за каждого вражеского бойца в зоне действия её Супера.","เอมซ์ฟื้นฟูพลังชีวิต <color=#00cc00>624</color> หน่วยต่อวินาทีตามจำนวนบรอว์เลอร์ศัตรูที่อยู่ในบริเวณท่าไม้ตายของเธอ","Emz süper saldırısının etki alanında bulunan her bir düşman savaşçı için saniye başına <color=#00cc00>624</color> sağlık kazanır.","Với mỗi Chiến binh Brawl đối thủ đứng trong phạm vi Tuyệt chiêu của mình, Emz sẽ hồi phục <color=#00cc00>624</color> máu mỗi giây.",
TID_MUMMY_BUDDY_STARPOWER_2_DIFF,"특수 공격을 발동할 때 <color=#00cc00>0.5</color>초 동안 피해를 입지 않습니다.","Emz takes no damage for <color=#00cc00>0.5</color> sec when activating her Super.","Al activar el súper, Emz es inmune al daño durante <color=#00cc00>0.5</color> segundo(s).","Eliz@ ne peut pas subir de dégâts pendant <color=#00cc00>0.5</color> s après avoir activé son super.","Emz erleidet <color=#00cc00>0.5</color> Sek. lang keinen Schaden, wenn sie ihren Superskill aktiviert.","لا تتعرض إيمز لأي ضرر لمدة <color=#00cc00>0.5</color> ث عند تفعيل زخمها.","使用超级技能时，艾魅会暂时免疫所有伤害，持续<color=#00cc00>0.5</color>秒。","使用超級技能時，艾謎會暫時免疫所有傷害，持續<color=#00cc00>0.5</color>秒。","Emz ei kärsi lainkaan vahinkoa <color=#00cc00>0.5</color> sekunnin ajan aktivoidessaan superinsa.","Emz לא סופגת נזק במשך <color=#00cc00>0.5</color> שניות כאשר היא מפעילה את תכונת הסופר שלה.","Emz tidak mengalami kerusakan selama <color=#00cc00>0.5</color> dtk saat Supernya aktif.","Attivando la super, Emz è immune a qualsiasi danno per <color=#00cc00>0.5</color> secondo/i.","必殺技発動後、<color=#00cc00>0.5</color>秒間無敵状態になる。","Emz tidak menerima sebarang kerosakan selama <color=#00cc00>0.5</color> saat apabila mengaktifkan Super.","Emz loopt <color=#00cc00>0.5</color> sec. geen schade op als ze haar super activeert.","Emz jest odporna na obrażenia przez <color=#00cc00>0.5</color> s po aktywacji superataku.","Emz fica imune a dano por <color=#00cc00>0.5</color> segundo ao ativar o Super.","При активации Супера Эмз становится невосприимчивой к урону на <color=#00cc00>0.5</color> с.","เอมซ์ไม่ได้รับความเสียหายเป็นเวลา <color=#00cc00>0.5</color> วินาทีหลังเปิดใช้งานท่าไม้ตาย","Emz, süperini etkinleştirdiğinde <color=#00cc00>0.5</color> saniyeliğine hasar almaz.","Emz không nhận sát thương trong <color=#00cc00>0.5</color> giây khi kích hoạt Tuyệt chiêu của mình.",
TID_ACCESSORY_MUMMY_PUSH,"지독한 향수","FRIENDZONER","ESPACIO PERSONAL","CORDON DE SÉCURITÉ","FRIENDZONER","المساحة الشخصية","好友卡","好人卡","BLOKKAUS","רק ידידים","ZONA TERLARANG","BRACCIALE DELLA FRIENDZONE","フレンドゾーン","ZON KAWAN","AFSTOTELIJKE GEUR","FRIENDZONOWANIE","BOTÃO DE BLOCK","ФРЕНДЗОНА","กำไลเพื่อนรัก","ENGELLEME BUTONU","\qVÙNG BẠN BÈ\q",
TID_ACCESSORY_MUMMY_PUSH_DESC,"헤어스프레이를 뿌려 적을 밀어내고 <color=#00cc00>500</color>의 피해를 줍니다.","Emz fires off some hairspray that pushes enemies back. Deals <color=#00cc00>500</color> damage.","Emz pulveriza laca que hace retroceder a los enemigos e inflige <color=#00cc00>500</color> de daño.","Eliz@ pulvérise de la laque, repoussant les ennemis. Inflige <color=#00cc00>500</color> pts de dégâts.","Emz versprüht Haarspray, das Gegner zurückstößt. Dies verursacht <color=#00cc00>500</color> Schaden.","ترش إيمز بخاخ شعر يدفع الأعداء إلى الوراء. يلحق <color=#00cc00>500</color> من الضرر.","艾魅喷出呛人的定型喷雾，可击退敌人并造成<color=#00cc00>500</color>伤害。","艾謎噴出嗆人的定型毒霧，可擊退敵人並造成<color=#00cc00>500</color>傷害。","Emz suihkuttaa hiuslakkaa, joka työntää vastustajia taaksepäin ja tekee <color=#00cc00>500</color> pisteen verran tuhoa.","Emz משגרת תרסיס לשיער שהודף את האויבים לאחור. גורם לנזק של <color=#00cc00>500</color>.","Emz menyemprotkan semprotan rambut untuk mendorong mundur lawan. Menimbulkan <color=#00cc00>500</color> kerusakan.","Emz spruzza della lacca per capelli, che respinge indietro i nemici e causa <color=#00cc00>500</color> punti danno.","スプレーを発射して敵をノックバックさせ、<color=#00cc00>500</color>ダメージを与える。","Emz menembak penyembur rambut yang menolak musuh ke belakang. Melakukan <color=#00cc00>500</color> kerosakan.","Emz vuurt haarlak af die vijanden terugduwt. Brengt <color=#00cc00>500</color> schade toe.","Emz psika lakierem do włosów, by odepchnąć wrogów. Zadaje <color=#00cc00>500</color> pkt. obrażeń.","Emz borrifa laquê, empurrando os inimigos para trás e causando <color=#00cc00>500</color> de dano.","Эмз распыляет лак для волос, отбрасывая врагов, и наносит <color=#00cc00>500</color> ед. урона.","เอมซ์พ่นสเปรย์ฉีดผมที่ผลักศัตรูถอยหลัง สร้างความเสียหาย <color=#00cc00>500</color> หน่วย","Emz saç spreyi sıkarak düşmanları geri püskürtür. <color=#00cc00>500</color> hasar verir.","Emz phun keo xịt tóc để đẩy lùi kẻ địch và gây ra <color=#00cc00>500</color> sát thương.",
TID_MUMMY_BUDDY_GADGET_1_DIFF,"적을 더 멀리 뒤로 밀어내며, 적이 장벽에 부딪힐 경우 <color=#00cc00>1</color>초 동안 기절합니다.","Knocks enemies back farther and stuns them for <color=#00cc00>1</color> sec if knocked into a wall.","Empuja a los enemigos a una mayor distancia y los aturde durante <color=#00cc00>1</color> segundo(s) si chocan contra un muro.","Repousse les ennemis plus loin et les immobilise pendant <color=#00cc00>1</color> s s'ils touchent un mur.","Stößt Gegner weiter zurück und betäubt sie <color=#00cc00>1</color> Sek. lang, wenn sie gegen eine Wand gestoßen werden.","تدفع الأعداء إلى الوراء لمسافة أبعد وتصعقهم لمدة <color=#00cc00>1</color> ث إذا اصطدموا بحائط.","将敌人击退得更远，如果敌人撞到墙上，还会被击晕<color=#00cc00>1</color>秒。","將敵人擊退得更遠，如果敵人撞到牆上，還會被擊暈<color=#00cc00>1</color>秒。","Työntää vastustajia kauemmaksi ja lamaannuttaa seinään osuvat vastustajat <color=#00cc00>1</color> sekunniksi.","מעיף חזרה אויבים רחוק יותר ומשתק אותם למשך <color=#00cc00>1</color> שניות, אם הם נדחפים לתוך קיר.","Mendorong lawan jauh ke belakang dan mengejutkannya selama <color=#00cc00>1</color> dtk jika membentur tembok.","Respinge ulteriormente i nemici e li lascia storditi per <color=#00cc00>1</color> secondi, se vengono sbattuti addosso a un ostacolo.","ノックバック距離が伸び、敵が壁にぶつかると<color=#00cc00>1</color>秒間気絶させる。","Tolak musuh ke belakang lebih jauh dan memegun mereka selama <color=#00cc00>1</color> saat jika terlanggar dinding.","Stoot vijanden verder terug en verdooft ze <color=#00cc00>1</color> sec. lang als ze een muur raken.","Odpycha wrogów i ogłusza ich na <color=#00cc00>1</color> s, jeśli uderzą w ścianę.","Empurra os inimigos para mais longe e os atordoa por alguns segundos (<color=#00cc00>1</color>) quando batem em um muro.","Дальность отбрасывания увеличивается. Противники оглушаются на <color=#00cc00>1</color> с., если в результате отбрасывания врезаются в стену.","ผลักศัตรูถอยหลังไกลขึ้นและสตันศัตรูเป็นเวลา <color=#00cc00>1</color> วินาทีหากผลักชนกำแพง","Düşmanları daha da geriye püskürtür ve duvara çarparlarsa <color=#00cc00>1</color> saniye boyunca sersemletir.","Đẩy lùi kẻ địch xa hơn và khiến họ bị choáng trong <color=#00cc00>1</color> giây nếu bị đẩy vào tường chắn.",
TID_ACCESSORY_MUMMY_ACID,"산성 스프레이","ACID SPRAY","LACA LETAL","ACIDE EN SPRAY","SÄURESPRAY","بخاخ الحمض","酸性喷雾","酸性毒霧","HAPPOSPRAY","ספריי חומצה","SEMPROTAN ASAM","NUBE ACIDA","酸性スプレー","SEMBURAN ASID","ZURE LAK","KWASOWY SPREJ","LAQUÊ LETAL","КИСЛОТНЫЙ ЛАК","สเปรย์กัดกร่อน","ASİT SPREYİ","BÌNH XỊT A XÍT",
TID_ACCESSORY_MUMMY_ACID_DESC,"장벽을 통과하는 헤어스프레이를 뿌립니다! <color=#00cc00>1120</color>의 피해를 줍니다.","Emz squirts out hairspray that goes through walls! Deals <color=#00cc00>1120</color> damage.","Emz pulveriza laca que atraviesa los muros e inflige <color=#00cc00>1120</color> de daño.","Eliz@ pulvérise de la laque qui transperce les murs ! Inflige <color=#00cc00>1120</color> pts de dégâts.","Emz versprüht Haarspray, das Wände durchstößt! Dies verursacht <color=#00cc00>1120</color> Schaden.","ترش إيمز بخاخ شعر يخترق الجدران. يلحق <color=#00cc00>1120</color> من الضرر.","艾魅喷出的定型喷雾可穿透墙壁，造成<color=#00cc00>1120</color>伤害。","艾謎噴出的定型毒霧可穿透牆壁，造成<color=#00cc00>1120</color>傷害。","Emz ruiskauttaa hiuslakkaa, joka lävistää seinät ja tekee <color=#00cc00>1120</color> pisteen verran tuhoa.","Emz משפריצה ספריי לשיער שעובר דרך קירות! גורם לנזק של <color=#00cc00>1120</color>.","Emz menyemprotkan semprotan rambut yang menembus tembok! Menimbulkan <color=#00cc00>1120</color> kerusakan.","Emz spruzza della lacca, che attraversa gli ostacoli e causa <color=#00cc00>1120</color> punti danno.","壁を貫通するスプレーを発射し、命中した敵に<color=#00cc00>1120</color>ダメージを与える。","Emz memancutkan penyembur rambut yang menembusi dinding! Melakukan <color=#00cc00>1120</color> kerosakan.","Emz spuit haarlak die door muren gaat! Brengt <color=#00cc00>1120</color> schade toe.","Emz psika lakierem do włosów, który przenika przez ściany. Zadaje <color=#00cc00>1120</color> pkt. obrażeń.","Emz borrifa laquê. O jato atravessa muros e causa <color=#00cc00>1120</color> de dano.","Эмз распыляет лак для волос, который может проходить сквозь стены и наносит <color=#00cc00>1120</color> ед. урона.","เอมซ์พ่นสเปรย์ฉีดผมที่ทะลุผ่านกำแพงได้! สร้างความเสียหาย <color=#00cc00>1120</color> หน่วย","Emz, duvarlardan geçen bir saç spreyi sıkar! <color=#00cc00>1120</color> hasar verir.","Emz phun keo xịt tóc có thể ngấm qua tường chắn! Gây ra <color=#00cc00>1120</color> sát thương.",
TID_MUMMY_BUDDY_GADGET_2_DIFF,"명중 시 적의 속도가 감소합니다.","Slows enemies on hit.","Ralentiza a los enemigos a los que golpea.","Ralentit les ennemis à l'impact.","Verlangsamt Gegner bei Treffern.","تبطئ الأعداء عند الإصابة.","命中敌人时使其减速。","命中敵人時使其減速","Osumat hidastavat vastustajia.","מאט אויבים שנפגעים.","Memperlambat lawan saat mereka terkena serangan.","Rallenta i nemici colpiti.","ヒットした敵をスローダウンさせる。","Memperlahankan musuh apabila diserang.","Vertraagt vijanden bij impact.","Spowalnia wrogów przy trafieniu.","Desacelera os inimigos atingidos.","Замедляет врагов при попадании.","ทำให้ศัตรูที่โดนช้าลง","Vurulan düşmanları yavaşlatır.","Khiến kẻ địch hoạt động chậm khi trúng đòn.",
TID_MUMMY_OVERCHARGE,"하이퍼 안개","OVERHYPED HAZE","NEBLINA NOCIVA","CERCLE DU CANCEL","BERAUSCHENDER HYPE","الضباب الكثيف","若即若离","生死邊緣","SUMUSTA SEKAISIN","אובך כבד","KABUT HYPE","ANNEBBIAMENTO TOTALE","超腐食性カリスマ","JEREBU KETERUJAAN","NEVELHYPE","MGŁA HAJPU","NÉVOA TRAIÇOEIRA","ВОЛНА ХАЙПА","ควันโอเวอร์ไฮป์","SİS PERDESİ","MÀN KHÓI DÀY ĐẶC",
TID_MUMMY_OVERCHARGE_DESC,"특수 공격 시 구역 내에 있는 적을 바깥쪽으로 밀어낸 후 스프레이를 뿌립니다.","Emz pushes enemies to the outer edge of her Super on activation and follows up with a dose of her spray.","Cuando activa el súper, Emz empuja a los enemigos hacia la parte exterior de la nube tóxica y los rocía con una buena dosis de laca.","À l'activation, Eliz@ projette les ennemis vers l'extérieur de son super et leur balance une dose de laque.","Emz stößt Gegner bei Aktivierung ihres Superskills an dessen äußeren Rand zurück und lässt einen Angriff mit ihrem Haarspray folgen.","تدفع إيمز الأعداء إلى الحافة الخارجية عند تفعيل زخمها وتتابع بجرعة من بخاخها.","艾魅使用超级技能时，会将敌人推到浓雾光环的边缘，随后喷出一阵定型喷雾。","艾謎使用超級技能時，會將敵人推到毒霧的邊緣，隨後噴出一陣定型毒霧。","Emz työntää superinsa aktivoidessaan vastustajia sen ulkoreunoille ja käy sen jälkeen heidän kimppuunsa suihkeellaan.","Emz דוחפת אויבים לגבול הקיצוני של תכונת הסופר שלה בהפעלה ואחר כך מוסיפה מנה מהספריי שלה.","Emz memukul mundur lawan hingga batas terluar Kekuatan Super dan dia akan menyerang lagi dengan semprotan miliknya.","Emz sbalza i nemici ai margini dell'aura tossica creata con la super e poi li irrora con una generosa dose di lacca corrosiva.","必殺技を使用すると効果範囲の外縁まで敵を押し戻し、スプレーで追い打ちをかける。","Emz menolak musuh ke pinggir luar semasa Super dia diaktifkan dan diikuti dengan semburan.","Emz duwt vijanden naar de uiterste rand van haar super als die geactiveerd wordt en volgt dat op met een dosis van haar spray.","Emz odpycha wrogów na obrzeżach jej superataku po aktywacji, po czym uwalnia potężną dawkę spreju.","Emz empurra os inimigos para a borda externa do seu Super e continua o ataque com uma dose de spray.","При активации Супера Эмз отбрасывает противников к границе области его действия, после чего атакует лаком для волос.","เอมซ์ผลักศัตรูออกไปจากวงท่าไม้ตายของเธอเมื่อเปิดใช้งาน ตามด้วยการพ่นสเปรย์หนึ่งครั้ง","Emz, süper özelliğini etkinleştirdiğinde düşmanları etki alanının dışına iter ve bir doz spreyle saldırır.","Khi kích hoạt, Emz sẽ đẩy đối thủ về phía rìa ngoài của phạm vi Tuyệt chiêu, và sau đó tấn công bằng keo xịt tóc.",
TID_MUMMY_BUDDY_OVERCHARGE_DIFF,"스프레이가 적에게 지속 피해를 입힙니다!","Sprays will poison enemies!","La laca envenena a los enemigos.","La laque empoisonne les ennemis !","Sprays vergiften Gegner!","تصيب البخاخات الأعداء بالسم.","定型喷雾可对敌人造成持续伤害！","定型毒霧可對敵人造成持續傷害！","Suihkaukset myrkyttävät vastustajia!","הספריי ירעיל את האויבים!","Semprotan akan meracuni musuh!","Avvelena i nemici con la lacca.","スプレーが敵を毒状態にする。","Semburan akan meracuni musuh!","Sprays vergiftigen vijanden!","Spreje zatruwają wrogów!","As borrifadas de laquê envenenam os inimigos!","Лак для волос отравляет врагов!","สเปรย์จะทำให้ศัตรูติดพิษ!","Spreyler düşmanları zehirler!","Bình xịt có thể đầu độc kẻ địch!",
TID_BEE_SNIPER,"비","BEA","BEA","BÉA","BEA","بي","贝亚","碧兒","BEA","בי","BEA","BEA","ビー","BEA","BEA","BEA","BEA","БЕА","บีทริซ","BEA","BEA",
